Date,Open,High,Low,Close,Adj Close,Volume,Name
2017-05-04,51.66999816894531,51.88999938964844,49.13999938964844,49.34000015258789,33.943721771240234,3964100,OKE
2017-05-05,49.369998931884766,50.68000030517578,49.0,50.63999938964844,34.83806228637695,4144700,OKE
2017-05-08,50.540000915527344,51.20000076293945,50.31999969482422,51.040000915527344,35.11323928833008,2908900,OKE
2017-05-09,51.0,51.060001373291016,50.11000061035156,50.47999954223633,34.72798156738281,1795500,OKE
2017-05-10,50.720001220703125,51.59000015258789,50.560001373291016,51.119998931884766,35.16828536987305,2424300,OKE
2017-05-11,51.619998931884766,51.619998931884766,50.939998626708984,51.27000045776367,35.27147674560547,1931000,OKE
2017-05-12,51.310001373291016,51.68000030517578,50.90999984741211,51.0,35.085723876953125,2929200,OKE
2017-05-15,51.79999923706055,52.0099983215332,51.0,51.279998779296875,35.27835464477539,2169100,OKE
2017-05-16,51.22999954223633,51.459999084472656,50.720001220703125,50.88999938964844,35.010047912597656,1871500,OKE
2017-05-17,50.88999938964844,50.88999938964844,49.720001220703125,49.75,34.22577667236328,2002600,OKE
2017-05-18,49.54999923706055,50.08000183105469,49.310001373291016,49.81999969482422,34.27394104003906,2156600,OKE
2017-05-19,50.31999969482422,51.880001068115234,50.099998474121094,51.43000030517578,35.38154983520508,2146300,OKE
2017-05-22,51.68000030517578,51.7599983215332,51.20000076293945,51.65999984741211,35.539772033691406,1748700,OKE
2017-05-23,51.79999923706055,52.5,51.56999969482422,52.22999954223633,35.93190383911133,2389600,OKE
2017-05-24,52.119998931884766,53.0099983215332,52.11000061035156,52.779998779296875,36.31029510498047,3410300,OKE
2017-05-25,52.36000061035156,53.099998474121094,51.529998779296875,51.65999984741211,35.539772033691406,4524500,OKE
2017-05-26,51.58000183105469,51.84000015258789,51.119998931884766,51.689998626708984,35.56040954589844,2201100,OKE
2017-05-30,51.2400016784668,51.349998474121094,49.849998474121094,49.849998474121094,34.294578552246094,2667700,OKE
2017-05-31,49.54999923706055,49.83000183105469,48.93000030517578,49.68000030517578,34.17761993408203,3416000,OKE
2017-06-01,49.86000061035156,50.560001373291016,49.54999923706055,50.45000076293945,34.70734786987305,2157300,OKE
2017-06-02,50.27000045776367,50.45000076293945,49.52000045776367,49.54999923706055,34.08818817138672,1560200,OKE
2017-06-05,48.72999954223633,49.689998626708984,48.72999954223633,49.31999969482422,33.92995834350586,1785100,OKE
2017-06-06,49.11000061035156,50.08000183105469,49.04999923706055,50.0,34.397762298583984,2343500,OKE
2017-06-07,49.79999923706055,50.22999954223633,48.5,48.869998931884766,33.62037658691406,2101600,OKE
2017-06-08,48.869998931884766,49.04999923706055,48.400001525878906,48.4900016784668,33.35894775390625,3029200,OKE
2017-06-09,48.54999923706055,49.4900016784668,48.54999923706055,49.45000076293945,34.0193977355957,1670000,OKE
2017-06-12,49.45000076293945,50.45000076293945,49.45000076293945,49.9900016784668,34.39088439941406,1997500,OKE
2017-06-13,49.849998474121094,50.45000076293945,49.779998779296875,50.209999084472656,34.542232513427734,1674300,OKE
2017-06-14,50.31999969482422,51.0,49.5,49.790000915527344,34.253292083740234,3738800,OKE
2017-06-15,49.439998626708984,50.02000045776367,48.869998931884766,48.97999954223633,33.69606018066406,2666700,OKE
2017-06-16,49.27000045776367,50.9900016784668,49.189998626708984,50.970001220703125,35.06508255004883,3278000,OKE
2017-06-19,51.0,51.189998626708984,50.04999923706055,50.209999084472656,34.542232513427734,2127200,OKE
2017-06-20,49.59000015258789,49.7599983215332,47.13999938964844,47.5,32.677886962890625,3463800,OKE
2017-06-21,48.06999969482422,48.630001068115234,47.150001525878906,47.40999984741211,32.615962982177734,4225600,OKE
2017-06-22,47.7400016784668,48.630001068115234,47.369998931884766,47.790000915527344,32.87738037109375,3438700,OKE
2017-06-23,47.91999816894531,49.2400016784668,47.65999984741211,49.189998626708984,33.84052658081055,2562900,OKE
2017-06-26,49.31999969482422,51.20000076293945,49.31999969482422,50.540000915527344,34.769264221191406,5206200,OKE
2017-06-27,50.61000061035156,51.36000061035156,50.529998779296875,50.68000030517578,34.86557388305664,3299300,OKE
2017-06-28,50.72999954223633,51.45000076293945,50.41999816894531,50.900001525878906,35.01692581176758,3315700,OKE
2017-06-29,51.08000183105469,52.439998626708984,50.869998931884766,51.52000045776367,35.44345474243164,5416000,OKE
2017-06-30,52.0099983215332,52.40999984741211,51.59000015258789,52.15999984741211,35.88375473022461,42639900,OKE
2017-07-03,52.209999084472656,52.45000076293945,51.5,52.029998779296875,35.794315338134766,4810200,OKE
2017-07-05,52.0099983215332,52.56999969482422,50.5,50.75,34.91373825073242,31997200,OKE
2017-07-06,51.27000045776367,52.689998626708984,51.08000183105469,52.599998474121094,36.186458587646484,17187000,OKE
2017-07-07,52.5,52.7400016784668,51.459999084472656,51.689998626708984,35.56040954589844,10667300,OKE
